,uid,PERSON,NORP,FAC,ORG,GPE,LOC,PRODUCT,EVENT,WORK_OF_ART,LAW,LANGUAGE,DATE,TIME,PERCENT,MONEY,QUANTITY,ORGINAL,CARDINAL
0,80e3b91f-2fb9-505f-8205-e1b5b896f689,8,0,0,19,12,2,3,0,1,0,0,4,0,0,0,0,0,5
1,78c730aa-4810-550b-9d4a-4b6529b40058,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2,42eba2fc-1aec-569f-a21c-bed5ce0de4d2,5,0,0,2,6,0,0,0,0,0,0,3,0,0,0,5,0,7
3,c6dea518-31f7-5ec4-9cf7-44b4fcf4d043,5,0,1,3,1,0,1,1,1,0,0,5,0,0,0,0,0,5
4,99538860-4cdb-553f-8e66-38bb474ebac3,2,1,4,5,3,2,1,0,0,0,0,12,4,0,7,2,0,4
5,10db03a7-f430-5522-a8fc-30be0b01e6f5,1,0,1,3,2,0,1,0,1,0,0,4,0,0,0,0,0,3
6,d23c3699-30ad-5d21-9e52-2fd59859766e,12,0,0,2,5,0,0,0,0,0,0,13,3,0,4,0,0,10
7,6328fff0-23fb-5d68-8e6c-53ae068fe7ab,13,0,1,13,24,0,1,4,1,0,0,22,1,0,0,0,0,16
8,eb40ca67-1349-5603-82ab-aaf4d092e754,48,1,0,32,1,1,4,0,0,0,0,20,0,0,0,1,0,68
9,605259fc-5162-55fa-80df-fa8e19a51b76,16,1,1,6,10,0,1,1,0,0,0,7,0,1,0,0,0,19
10,23ae361c-b630-5e53-9282-c7652b9ce85f,23,7,2,6,22,1,1,4,0,0,0,10,1,0,0,1,0,30
11,74048093-8928-5a21-ba9f-4adaad5a415d,4,3,0,3,4,0,0,1,1,0,0,5,0,0,0,0,0,10
12,244f744d-839c-575f-9570-65711069720d,10,13,0,14,22,0,1,0,0,0,0,5,0,0,0,0,0,2
13,79839089-7e46-593f-ae3d-f29bb4022a52,6,0,1,1,0,0,0,0,1,0,0,16,0,0,18,0,0,2
