,uid,PERSON,NORP,FAC,ORG,GPE,LOC,PRODUCT,EVENT,WORK_OF_ART,LAW,LANGUAGE,DATE,TIME,PERCENT,MONEY,QUANTITY,ORGINAL,CARDINAL,label
12680,df115c20-b8b5-5241-9432-a9396ac91c33,0,1,0,2,4,1,0,0,0,0,0,2,0,0,0,0,0,0,0
1554,ab266209-970e-51f2-8e95-48b637466d8c,9,6,3,5,3,2,0,0,0,0,0,4,1,0,0,0,0,1,1
13643,2a4b536e-ca40-5b83-8480-8f3498440724,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7095,e24c390b-27a1-58b5-9994-4db26a2f2e32,6,4,0,6,2,1,2,0,0,0,0,9,0,0,1,5,0,10,1
19187,927e3dfc-5351-543b-b308-863874336137,9,0,3,24,8,2,3,0,0,0,0,12,0,0,0,4,0,13,0
6174,2efc06c8-8382-52db-b0f3-bf733494340a,1,1,0,10,7,2,0,0,0,0,0,12,0,0,0,4,0,16,1
11232,0f053ad6-8e5e-5885-9de1-129e63450612,10,12,0,3,5,1,0,0,0,0,0,2,2,0,0,0,0,1,0
11921,ebd91657-bce9-52ad-b8e9-e17abfd5f665,6,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18767,5e663e80-167b-5df8-9b86-435103e4c987,6,0,0,4,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0
14905,2f4b36d6-08cf-5d0b-b1a5-2e25f45847f1,2,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0
3436,191a467c-7199-5520-b21a-abc928c9df24,4,0,0,4,3,0,1,0,0,0,0,26,0,0,0,0,0,10,1
18089,2e8c4bc8-a1b7-5eb2-8fb2-708afe3858d0,2,2,0,1,9,0,0,0,0,0,0,2,0,0,0,0,0,0,0
2132,72ab1a5d-ad02-534b-b3dd-a8605343cb77,38,6,0,17,8,1,0,0,1,0,0,26,5,1,1,3,0,17,1
705,5a3c0574-7796-5ad5-bdb9-5c65fa4ca90d,6,6,0,11,1,0,1,0,0,0,0,6,0,3,4,0,0,4,1
13499,6ba02674-2768-5fd6-a8ca-86c38e094434,4,2,1,0,2,1,0,0,0,0,0,5,0,0,0,0,0,3,0
6923,aaed4b29-f894-5ff3-bb06-f14673f99fe9,10,0,1,6,4,1,0,0,0,0,0,8,0,0,0,0,0,3,1
1927,3c8c0902-8308-59dc-bf95-c5ec9f5abf7d,5,0,0,13,3,0,1,0,0,0,0,5,0,0,0,3,0,14,1
9890,8b9dccb3-bc33-51ab-a1b5-077c12e35d2b,0,0,0,1,2,0,0,0,0,0,0,4,0,0,2,0,0,1,1
