,uid,PERSON,NORP,FAC,ORG,GPE,LOC,PRODUCT,EVENT,WORK_OF_ART,LAW,LANGUAGE,DATE,TIME,PERCENT,MONEY,QUANTITY,ORGINAL,CARDINAL
0,a437ff48-104a-54bb-bff7-c7a736158524,6,1,0,25,6,0,0,0,1,0,0,9,1,0,2,0,0,3
1,366c92af-8143-5ffa-8702-4f26bd22c8b6,2,2,0,28,5,0,0,0,0,0,0,15,2,0,11,0,0,10
2,863096d4-48f0-5a7c-bee6-384a76d575ee,2,1,0,9,11,1,0,0,1,0,0,10,0,0,1,1,0,8
3,3e4d6490-4224-595e-be26-4cb249209b8f,32,0,6,22,1,1,3,1,3,1,0,12,0,0,0,0,0,37
4,9f3e248d-b040-5058-bdc9-61c4de59f02a,24,0,0,27,10,4,0,0,0,1,0,11,0,0,1,0,0,1
5,c058dcb3-87b0-5ffe-80f7-92506adcdff4,2,0,0,7,1,0,0,0,0,0,0,6,0,0,0,0,0,2
6,f69f3ef1-d5f8-5202-a1ff-733316dcd490,23,2,2,15,4,0,0,3,1,0,0,12,0,1,4,0,0,6
7,19d67e93-4aed-5b37-8a1d-c35cb02d975a,11,6,1,48,10,1,0,0,1,2,0,6,0,1,0,2,0,5
8,1436c165-01f6-5b18-ab13-7f9a3790f01f,10,0,0,23,21,5,1,0,0,0,0,15,0,7,1,2,0,13
9,406b2404-50a6-59cc-9443-82fac2af831e,24,3,2,71,6,1,1,2,1,3,0,25,2,0,1,0,0,9
10,ca96e375-8d43-5b4b-9fb4-188c877b42bc,73,3,10,34,17,24,1,0,1,0,0,128,9,11,42,2,0,45
11,78717ebb-ca73-56e4-a270-cca27e83e7f6,2,0,0,9,8,2,0,0,0,0,0,1,0,0,0,0,0,2
12,4dad42f9-35be-55f4-b9b3-5f1d1dcddd72,13,1,0,12,1,1,1,0,1,0,0,7,2,0,0,0,0,0
13,31a94954-8779-5e5c-941a-3a9a402706e1,18,0,0,16,1,0,0,0,0,0,0,7,0,0,2,0,0,7
14,755e901c-96e2-528a-9e54-f0bf5ee61422,7,1,1,18,5,0,1,0,1,0,0,15,0,0,54,0,0,6
15,4ea025c8-23c9-53c1-b8b1-f99dc45fbc39,8,0,3,18,12,3,0,0,0,1,0,12,0,0,1,3,0,2
16,520e51a4-5fd0-5922-a5fd-7eaca25cf33d,36,0,3,38,20,2,5,0,0,0,0,37,11,0,5,2,0,24
17,2da5861b-ab8f-5b05-ad0c-1e0583813c3b,32,10,0,6,6,0,0,0,0,0,0,29,2,0,0,0,0,7
18,a6476058-b812-5340-a165-74416a997a35,1,0,1,7,6,0,1,0,0,0,0,3,2,0,0,0,0,1
19,60aaa0ca-0f97-5e33-8bf3-9e3fbda5407f,33,3,1,12,7,0,1,0,1,0,0,4,0,0,1,0,0,3
20,c374ff51-8ba4-5dae-965f-899c642f8cee,4,0,1,20,4,0,0,0,1,0,0,3,0,1,0,0,0,5
21,9695afa3-069a-5862-ac59-54d9d340a525,0,1,0,3,1,0,0,0,0,0,0,1,1,0,2,0,0,8
22,73d879f3-e682-58b3-adb4-7dfe8dc68a94,7,2,1,50,3,9,1,0,6,0,0,10,0,10,8,0,0,20
23,6b08acca-b09e-5130-916c-c749ca0cbd1e,43,1,0,3,4,0,1,0,9,0,0,12,1,0,0,0,0,4
24,5b69a58f-76ef-52fa-817b-70c7cf35f23d,10,0,0,13,19,0,1,0,0,0,0,2,0,0,0,0,0,1
25,ca10fdea-7d72-57b5-904b-e7ec8a3afa40,15,0,0,5,3,1,2,0,0,0,0,7,1,1,2,0,0,2
26,f6b1073d-0cc3-55e2-8e74-b57da83d31db,51,4,0,41,8,1,2,0,1,0,0,16,2,1,6,2,0,9
27,93e952e8-981b-5ec7-b03f-d5a2b1b3cc7b,5,1,0,14,5,2,0,0,0,0,0,6,0,0,6,0,0,2
28,5003e3f2-370a-5d3f-8b47-8f311cb91413,13,2,0,30,21,2,0,0,3,0,0,18,2,6,1,0,0,11
29,4c825b69-e787-56da-b1db-666a7e535923,4,0,0,7,14,0,0,0,0,1,0,40,0,0,0,0,0,6
